Movie,Box_office,Certificate,Release_Data,Run_time,Budget,Genre,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3
sanju,    334 Crores, U/A (INDIA),12-Apr-19, 2 HOURS  41 MINUTES,₹ 96 CRORES,"Biography, Drama",Rajkumar Hirani,Rajkumar Hirani,Anushka Sharma,Sonam Kapoor,Ranbir Kapoor
3-idiots,    201 Crores, U/A (INDIA),24-Dec-09, 2 HOURS  51 MINUTES,₹ 77 CRORES,"Adventure, Comedy, Drama, Romance",Rajkumar Hirani,Vidhu Vinod Chopra,Aamir Khan,R Madhavan,Kareena Kapoor Khan
dangal,    374 Crores,,,,,,Nitesh Tiwari,Aamir Khan,Aamir Khan,Sanya Malhotra,Zaira Wasim
black-friday,    4 Crores,,9-Feb-07, 2 HOURS  23 MINUTES,₹ 4 CRORES,"Action, Crime, Drama, History, Thriller",Anurag Kashyap,Arindam Mitra,Kay Kay Menon,Nawazuddin Siddiqui,Kishore Kadam
andhadhun,    73 Crores, U/A (INDIA),5-Oct-18, 2 HOURS  19 MINUTES,₹ 32 CRORES,"Comedy, Romance, Thriller, Drama, Mystery, Crime",Sriram Raghavan,Sanjay Routray,Tabu Hashmi,Ayushmann Khurrana,Radhika Apte
taare-zameen-par,    61 Crores,,,,,,Aamir Khan,Aamir Khan,Aamir Khan,Abhishek Bachchan,Gurkirtan Chauhan
chak-de-india,    109 Crores,,,,,,Shimit Amin,Aditya Chopra,Shah Rukh Khan,Sagarika Ghatge,Arya Menon
rang-de-basanti,    53 Crores, U/A (INDIA),26-Jan-06, 2 HOURS  51 MINUTES,₹ 28 CRORES,"Comedy, Drama, History, Romance",Rakeysh Omprakash Mehra,David Reid,Aamir Khan,Siddharth Narayan,R Madhavan
bhaag-milkha-bhaag,    109 Crores, U (INDIA),11-Jul-13, 3 HOURS  7 MINUTES,₹ 53 CRORES,"Biography, Drama, History, Sport",Rakeysh Omprakash Mehra,Rakeysh Omprakash Mehra,Sonam Kapoor,Prakash Raj,Farhan Akhtar
queen,    61 Crores,,,,,,Vikas Bahl,Anurag Kashyap,Kangana Ranaut,Jeffrey Ho,Rajkummar Rao
uri-the-surgical-strike,    342 Crores, U/A (INDIA),11-Jan-19, 2 HOURS  18 MINUTES,₹ 25 CRORES,"Action, Drama, War",Aditya Dhar,Ronnie Screwvala,Yami Gautam,Kirti Kulhari,Vicky Kaushal
gangs-of-wasseypur-ii,    96 Crores,,,,,,Anurag Kashyap,Anurag Kashyap,Huma Qureshi,Nawazuddin Siddiqui,Anurag Kashyap
gangs-of-wasseypur,    27 Crores, A (INDIA),2-Aug-12, 2 HOURS  40 MINUTES,₹ 9 CRORES,"Action, Crime, Drama, Thriller, Comedy",Anurag Kashyap,Anurag Kashyap,Richa Chadda,Manoj Bajpayee,Rajkummar Rao
tumbbad,    12 Crores, A (INDIA),12-Oct-18, 1 HOUR  44 MINUTES,₹ 15 CRORES,"Thriller, Horror, Mystery, Drama, Fantasy",Rahi Anil Barve,Aanand L Rai,Anita Date,Mohd Samad,Sohum Shah
nil-battey-sannata,    5 Crores, U (INDIA),22-Apr-16, 1 HOUR  40 MINUTES,₹ 7 CRORES,"Drama, Family",Ashwini Iyer Tiwari,Ajay Rai,Ria Shukla,Neha Prajapati,Prashant Tiwari
khosla-ka-ghosla,    6 Crores,,,,,,Dibakar Banerjee,Ronnie Screwvala,Anupam Kher,Boman Irani,Tara Sharma
lage-raho-munna-bhai,    74 Crores, U (INDIA),1-Sep-06, 2 HOURS  25 MINUTES,₹ 19 CRORES,"Comedy, Drama, Fantasy, Romance",Rajkumar Hirani,Vidhu Vinod Chopra,Vidya Balan,Sanjay Dutt,Abhishek Bachchan
dil-chahta-hai1,    20 Crores, U (INDIA),10-Aug-01, 3 HOURS  3 MINUTES,₹ 14 CRORES,"Comedy, Drama, Romance",Farhan Akhtar,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna
munna-bhai-mbbs,    103 Crores,,,,,,Rajkumar Hirani,Vidhu Vinod Chopra,Sunil Dutt,Sanjay Dutt,Jimmy Shergill
zindagi-na-milegi-dobara,    89 Crores, U (INDIA),15-Jul-11, 2 HOURS  26 MINUTES,₹ 60 CRORES,"Adventure, Comedy, Drama, Family, Romance",Zoya Akhtar,Farhan Akhtar,Hrithik Roshan,Katrina Kaif,Naseeruddin Shah
pk,    337 Crores, U/A (INDIA),18-Dec-14, 2 HOURS  33 MINUTES,₹ 122 CRORES,"Comedy, Drama, Fantasy, Romance, Sci-fi, Musical",Rajkumar Hirani,Vidhu Vinod Chopra,Sushant Singh Rajput,Anushka Sharma,Aamir Khan
satya,    14 Crores,,,,,,Ram Gopal Varma,,Manoj Bajpayee,J.d. Chakravarthi,Urmila Matondkar
omkara,    23 Crores, A (INDIA),28-Jul-06, 2 HOURS  30 MINUTES,₹ 26 CRORES,"Action, Crime, Drama, Romance, Thriller",Vishal Bhardwaj,Kumar Mangat Pathak,Ajay Devgan,Saif Ali Khan,Kareena Kapoor Khan
dilwale-dulhania-le-jayenge,    53 Crores, U (INDIA),20-Oct-95, 3 HOURS  12 MINUTES,₹ 4 CRORES,"Comedy, Drama, Musical, Romance",Aditya Chopra,Yash Chopra,Kajol Devgn,Shah Rukh Khan,Anupam Kher
haider,    49 Crores, U/A (INDIA),2-Oct-14, 2 HOURS  42 MINUTES,₹ 48 CRORES,"Action, Crime, Drama, Romance, Thriller, Comedy, Family",Vishal Bhardwaj,Vishal Bhardwaj,Shahid Kapoor,Shraddha Kapoor,Irrfan Khan
udaan,    1 Crores,,,,,,Vikramaditya Motwane,Anurag Kashyap,Rajat Barmecha,Varun Khettry,Ram Kapoor
andaz-apna-apna,    5 Crores,,,,,,Rajkumar Santoshi,Vinay Kumar Sinha,Aamir Khan,Salman Khan,Govinda
article-151,    65 Crores, U/A (INDIA),27-Jun-19, 2 HOURS  10 MINUTES,₹ 30 CRORES,"Crime, Drama, Thriller, Action",Anubhav Sinha,Anubhav Sinha,Ayushmann Khurrana,Sayani Gupta,Mohammed Zeeshan Ayyub
jo-jeeta-wohi-sikandar,    4 Crores,,,,,,Mansoor Khan,Nasir Hussain,Aamir Khan,Imran Khan,Deb Mukherjee
chhichhore,    147 Crores, U/A (INDIA),6-Sep-19,,₹ 53 CRORES,"Drama, Comedy",Nitesh Tiwari,Sajid Nadiadwala,Sushant Singh Rajput,Shraddha Kapoor,Tahir Raj Bhasin
swades-we-the-people,    16 Crores, U (INDIA),17-Dec-04, 3 HOURS  14 MINUTES,₹ 22 CRORES,"Drama, Family, Romance",Ashutosh Gowariker,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Bharath Gopi
talvar,    30 Crores, U/A (INDIA),1-Oct-15, 2 HOURS  12 MINUTES,₹ 17 CRORES,"Biography, Crime, Drama, History, Mystery, Thriller",Meghna Gulzar,Vishal Bhardwaj,Irrfan Khan,Tabu Hashmi,Konkona Sen Sharma
barfi,    105 Crores, U (INDIA),14-Sep-12, 2 HOURS  30 MINUTES,₹ 50 CRORES,"Adventure, Comedy, Drama, Romance",Anurag Basu,Anurag Basu,Ileana D'cruz,Priyanka Chopra,Ranbir Kapoor
shahid,    1 Crores, A (INDIA),18-Oct-13, 2 HOURS  9 MINUTES,₹ 6 CRORES,"Biography, Crime, Drama, Thriller, Action, War",Hansal Mehta,Anurag Kashyap,Rajkummar Rao,Kay Kay Menon,Mohammed Zeeshan Ayyub
hera-pheri,    12 Crores,,,,,,Priyadarshan Nair,Ag Nadiadwala,Akshay Kumar,Tabu Hashmi,Sunil Shetty
masaan,    3 Crores, A (INDIA),24-Jul-15, 1 HOUR  49 MINUTES,₹ 8 CRORES,"Drama, Romance, Crime",Neeraj Ghaywan,Anurag Kashyap,Richa Chadda,Vicky Kaushal,Niharika Raizada
drishyam1,    68 Crores, U/A (INDIA),30-Jul-15, 2 HOURS  43 MINUTES,₹ 62 CRORES,"Crime, Drama, Mystery, Thriller, Family",Nishikant Kamat,Abhishek Pathak,Ajay Devgan,Tabu Hashmi,Shriya Saran
paan-singh-tomar,    14 Crores, U/A (INDIA),2-Mar-12, 2 HOURS  14 MINUTES,₹ 7 CRORES,"Action, Biography, Crime, Sport, Thriller, Drama, Mystery",Tigmanshu Dhulia,Ronnie Screwvala,Irrfan Khan,Hemendra Dandotiya,Jhakkad Guru
kal-ho-naa-ho,    38 Crores, U (INDIA),28-Nov-03, 3 HOURS  8 MINUTES,₹ 28 CRORES,"Comedy, Drama, Romance",Nikhil Advani,Karan Johar,Ron Reid Jr,Rani Mukerji,Saif Ali Khan
gully-boy,    134 Crores, U/A (INDIA),14-Feb-19, 2 HOURS  33 MINUTES,₹ 84 CRORES,"Adventure, Comedy, Drama, Family, Romance, Music, Musical",Zoya Akhtar,Farhan Akhtar,Ranveer Singh,Alia Bhatt,Kalki Koechlin
bajrangi-bhaijaan,    315 Crores, U/A (INDIA),17-Jul-15, 2 HOURS  39 MINUTES,₹ 125 CRORES,"Action, Adventure, Comedy, Drama, Family",Kabir Khan,Sunil Lulla,Salman Khan,Kareena Kapoor Khan,Shahnawaz Bhat
omg-oh-my-god,    122 Crores, U (INDIA),28-Sep-12, 2 HOURS  12 MINUTES,₹ 20 CRORES,"Comedy, Drama, Family, Fantasy",Umesh Shukla,Ashvini Yardi,Akshay Kumar,Sonakshi Sinha,Mithun Chakraborty
company,    13 Crores, A (INDIA),15-Apr-02, 2 HOURS  31 MINUTES,₹ 9 CRORES,"Action, Crime, Drama, Thriller",Ram Gopal Varma,Ram Gopal Varma,Mohanlal Viswanathan,Ajay Devgan,Manisha Koirala
the-legend-of-bhagat-singh,    7 Crores,,,,,,Rajkumar Santoshi,Ramesh Sadhuram Taurani,Ajay Devgan,Amrita Rao,Raj Babbar
kahaani,    57 Crores, U/A (INDIA),8-Mar-12, 2 HOURS  2 MINUTES,₹ 20 CRORES,"Drama, Mystery, Thriller",Sujoy Ghosh,Sujoy Ghosh,Parambrata Chatterjee,Vidya Balan,Saurav Das
maqbool,    2 Crores, A (INDIA),30-Jan-04, 2 HOURS  18 MINUTES,₹ 3 CRORES,"Crime, Drama, Thriller",Vishal Bhardwaj,Bobby Bedi,Irrfan Khan,Tabu Hashmi,Naseeruddin Shah
section-3751,    10 Crores, U/A (INDIA),13-Sep-19,,₹ 17 CRORES,"Drama, Crime",Ajay Bahl,Bhushan Kumar,Rahul Bhat,Vibhawari Deshpande,Kruttika Desai
pink-iii,    65 Crores, U/A (INDIA),16-Sep-16, 2 HOURS  16 MINUTES,₹ 29 CRORES,"Crime, Drama, Thriller",Aniruddha Roy Chowdhury,Shoojit Sircar,Amitabh Bachchan,Andrea Tariang,Taapsee Pannu
a-wednesday,    11 Crores, U/A (INDIA),5-Sep-08, 1 HOUR  44 MINUTES,₹ 3 CRORES,"Crime, Drama, Mystery, Thriller, Action",Neeraj Pandey,Ronnie Screwvala,Jimmy Shergill,Naseeruddin Shah,Anupam Kher
my-name-is-khan,    72 Crores, U/A (INDIA),12-Feb-10, 2 HOURS  41 MINUTES,₹ 85 CRORES,"Adventure, Drama, Romance, Thriller",Karan Johar,Gauri Khan,Kajol Devgn,Shah Rukh Khan,Jimmy Shergill
airlift,    123 Crores, U/A (INDIA),22-Jan-16, 2 HOURS  4 MINUTES,₹ 68 CRORES,"Action, Adventure, Drama, History, Thriller, War",Raja Krishna Menon,Bhushan Kumar,Akshay Kumar,Nimrat Kaur,Prakash Belawadi
vaastav-the-reality,    41 Crores,,,,,,Mahesh Manjrekar,Deepak Nikalje,Sanjay Dutt,Makarand Anaspure,Bharat Jadhav
padman,    191 Crores,,9-Feb-18, 1 HOUR  59 MINUTES,₹ 20 CRORES,"Biography, Comedy, Drama",,,Sonam Kapoor,Akshay Kumar,Amitabh Bachchan
veer-zaara,    97 Crores, U (INDIA),12-Nov-04, 3 HOURS  17 MINUTES,₹ 23 CRORES,"Drama, Family, Musical, Romance",Yash Chopra,Aditya Chopra,Rani Mukerji,Amitabh Bachchan,Shah Rukh Khan
raazi,    122 Crores, U/A (INDIA),10-May-18, 2 HOURS  20 MINUTES,₹ 38 CRORES,,Meghna Gulzar,Karan Johar,Alia Bhatt,Lovely Sidhu,Vicky Kaushal
ugly,    6 Crores, A (INDIA),26-Dec-14, 2 HOURS  7 MINUTES,₹ 6 CRORES,"Crime, Drama, Mystery, Thriller",Anurag Kashyap,Anurag Kashyap,Alia Bhatt,Rahul Bhat,Surveen Chawla
secret-superstar,    62 Crores, U/A (INDIA),18-Oct-17, 2 HOURS  30 MINUTES,₹ 45 CRORES,"Action, Adventure, Comedy, Drama, Music, Family, Musical",Advait Chandan,Aamir Khan,Aamir Khan,Zaira Wasim,Nikita Anand
baby-i,    81 Crores, U/A (INDIA),23-Jan-15, 2 HOURS  40 MINUTES,₹ 75 CRORES,"Action, Adventure, Thriller, Crime, Mystery",Neeraj Pandey,Bhushan Kumar,Akshay Kumar,Anupam Kher,Sandeep Bharadwaj
manjhi-the-mountain-man,    0 Lakhs, U (INDIA),21-Aug-15, 2 HOURS  4 MINUTES,,"Biography, Drama, History, Romance, Adventure",Ketan Mehta,Deepa Sahi,Ashutosh Acharya,Radhika Apte,Urmila Mahanta
laal-rang,    1 Crores, U/A (INDIA),22-Apr-16, 2 HOURS  30 MINUTES,₹ 10 CRORES,"Action, Crime, Drama, Thriller",Syed Ahmed Afzal,Nitika Thakur,Randeep Hooda,Piaa Bajpai,Rajniesh Duggall
mukkabaaz,    10 Crores, U/A (INDIA),12-Jan-18, 2 HOURS  35 MINUTES,₹ 12 CRORES,"Action, Drama, Sport",Anurag Kashyap,Anurag Kashyap,Jimmy Shergill,Nawazuddin Siddiqui,Ravi Kishan Shukla
ankhon-dekhi,    81 Lakhs, U (INDIA),21-Mar-14, 1 HOUR  47 MINUTES,₹ 4 CRORES,"Comedy, Drama",Rajat Kapoor,Manish Mundra,Chandrachoor Rai,Seema Pahwa,Rajat Kapoor
special-chabbis,    65 Crores, U/A (INDIA),7-Feb-13, 2 HOURS  24 MINUTES,₹ 50 CRORES,"Crime, Drama, History, Thriller",Neeraj Pandey,Kumar Mangat Pathak,Kajal Aggarwal,Akshay Kumar,Jimmy Shergill
i-am-kalam,    1 Crores, U (INDIA),13-Mar-11, 1 HOUR  28 MINUTES,₹ 2 CRORES,"Comedy, Drama, Family",Nila Madhab Panda,,Harsh Mayar,Suresh Acharya,Samarth Shandilya
devd,    15 Crores,,6-Feb-09, 2 HOURS  24 MINUTES,₹ 11 CRORES,"Comedy, Drama, Romance",,,,,
super-30,    147 Crores, U (INDIA),12-Jul-19, 2 HOURS  35 MINUTES,₹ 120 CRORES,"Biography, Drama",Kabir Khan,Madhu Mantena,Vikas Bahl,Hrithik Roshan,Katrina Kaif
vicky-donor,    41 Crores, U/A (INDIA),19-Apr-12, 2 HOURS  2 MINUTES,₹ 10 CRORES,"Comedy, Romance",Shoojit Sircar,Sunil Lulla,John Abraham,Ayushmann Khurrana,Siddharth Bharadwaj
pinjar-beyond-boundaries,    3 Crores,,,,,,Chandra Prakash Dwivedi,,Chandraprakash Dwivedi,Manoj Bajpayee,Seema Biswas
agneepath,    119 Crores,,,,,,Mukul Anand,Yash Johar,Amitabh Bachchan,Mithun Chakraborty,Master Manjunath
ms-dhoni-the-untold-story,    216 Crores, U (INDIA),29-Sep-16, 3 HOURS  5 MINUTES,₹ 104 CRORES,"Biography, Drama, Sport",Neeraj Pandey,Arun Pandey,Sushant Singh Rajput,Aamir Khan,Bhoomika Chawla
rock-on,    25 Crores,,,,,,Abhishek Kapoor,Farhan Akhtar,Arjun Rampal,Farhan Akhtar,Prachi Desai
udta-punjab,    58 Crores,,17-Jun-16, 2 HOURS  28 MINUTES,₹ 47 CRORES,"Action, Crime, Drama, Thriller",Abhishek Chaubey,,Shahid Kapoor,Alia Bhatt,Kareena Kapoor Khan
devdas-i,    41 Crores,,,,,,Sanjay Leela Bhansali,Bharat S Shah,Aishwarya Rai Bachchan,Madhuri Dixit,Shah Rukh Khan
ab-tak-chhappan,    8 Crores, A (INDIA),27-Feb-04, 2 HOURS  9 MINUTES,₹ 4 CRORES,"Crime, Drama, Thriller, Action",Shimit Amin,Ram Gopal Varma,Nana Patekar,Mohan Agashe,Revathi
dor,    2 Crores, U (INDIA),22-Sep-06, 2 HOURS  4 MINUTES,₹ 3 CRORES,Drama,Nagesh Kukunoor,Elahe Hiptoola,Gul Panag,Ayesha Takia,Girish Karnad
rockstar,    68 Crores, U (INDIA),11-Nov-11, 2 HOURS  27 MINUTES,₹ 66 CRORES,"Drama, Musical, Romance, Music",Imtiaz Ali,Sunil Lulla,Ranbir Kapoor,Shammi Kapoor,Nargis Fakhri
jab-we-met,    31 Crores, U (INDIA),26-Oct-07, 2 HOURS  24 MINUTES,₹ 15 CRORES,"Comedy, Drama, Romance, Family",Imtiaz Ali,Dhilin Mehta,Shahid Kapoor,Kareena Kapoor Khan,Tarun Arora
hazaaron-khwaishein-aisi1,    47 Lakhs,,,,,,Sudhir Mishra,Pritish Nandy,Shiney Ahuja,Kay Kay Menon,Shilpa Shukla
yeh-saali-aashiqui,    59 Lakhs, A (INDIA),29-Nov-19, 2 HOURS  17 MINUTES,,"Thriller, Drama, Romance",Cherag Ruparel,Dhaval Gada,Ruslaan Mumtaz,Jeetendra Kapoor,Satish Kaushik
sonchiriya-m,    5 Crores, A (INDIA),1-Mar-19, 2 HOURS  25 MINUTES,₹ 28 CRORES,"Drama, Action, Crime, Thriller",Abhishek Chaubey,Ronnie Screwvala,Bhumi Pednekar,Sushant Singh Rajput,Manoj Bajpayee
lakshya,    23 Crores, U (INDIA),18-Jun-04, 3 HOURS  6 MINUTES,₹ 30 CRORES,"War, Drama, Romance, Action, Adventure",Farhan Akhtar,Farhan Akhtar,Hrithik Roshan,Amitabh Bachchan,Preity Zinta
parinda,    ,,,,,,Vidhu Vinod Chopra,Vidhu Vinod Chopra,Nana Patekar,Madhuri Dixit,Anil Kapoor
zakhm,    4 Crores,,,,,,Mahesh Bhatt,Mukesh Bhatt,Nagarjuna Akkineni,Ajay Devgan,Sonali Bendre
baazigar,    21 Crores,,,,,,Abbas Alibhai Burmawalla,Ganesh Jain,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla
neerja,    71 Crores, U (INDIA),19-Feb-16, 2 HOURS  2 MINUTES,₹ 28 CRORES,"Biography, Drama, Thriller, Adventure, Crime",Ram Madhvani,Atul Kasbekar,Sonam Kapoor,Amit Lekhwani,Shabana Azmi
jodhaa-akbar,    56 Crores, U/A (INDIA),13-Feb-08, 3 HOURS  32 MINUTES,₹ 55 CRORES,"Action, Adventure, Biography, Drama, History, Musical, Romance, War",Ashutosh Gowariker,Ashutosh Gowariker,Aishwarya Rai Bachchan,Hrithik Roshan,Amitabh Bachchan
guru4,    45 Crores, U (INDIA),12-Jan-07, 2 HOURS  46 MINUTES,₹ 22 CRORES,"Biography, Drama, Musical, Romance, Family",Mani Ratnam,Mani Ratnam,Aishwarya Rai Bachchan,Vidya Balan,R Madhavan
piku,    141 Crores, U/A (INDIA),7-May-15, 2 HOURS  5 MINUTES,₹ 25 CRORES,"Comedy, Drama",Shoojit Sircar,Np Singh,Deepika Padukone,Irrfan Khan,Amitabh Bachchan
kapoor-sons,    69 Crores, U/A (INDIA),17-Mar-16, 2 HOURS  20 MINUTES,₹ 38 CRORES,"Comedy, Drama, Romance",Shakun Batra,,Sidharth Malhotra,Fawad Afzal Khan,Alia Bhatt
krishna-balram-kalvakra,    262 Crores,,,,,,,,,,
luv-kushh-the-serpent-king,    262 Crores,,,,,,,,,,
gg-bond-hatching,    262 Crores,,,,,,,,,,
oye-lucky-lucky-oye,    6 Crores,,,,,,Dibakar Banerjee,Ronnie Screwvala,Abhay Deol,Richa Chadda,Neetu Chandra
kai-po-che,    92 Crores, U (INDIA),22-Feb-13, 2 HOURS  6 MINUTES,₹ 25 CRORES,"Drama, Sport",Abhishek Kapoor,Ronnie Screwvala,Sushant Singh Rajput,Rajkummar Rao,Tahir Raj Bhasin
badla2,    87 Crores, U/A (INDIA),8-Mar-19, 2 HOURS  0 MINUTE,₹ 37 CRORES,"Thriller, Crime, Drama, Mystery",Sujoy Ghosh,,Amitabh Bachchan,Shah Rukh Khan,Taapsee Pannu
mumbai-meri-jaan,    3 Crores, U/A (INDIA),22-Aug-08, 2 HOURS  14 MINUTES,₹ 3 CRORES,Drama,Nishikant Kamat,Rucha Pathak,R Madhavan,Irrfan Khan,Vibhawari Deshpande
english-vinglish,    38 Crores, U (INDIA),5-Oct-12, 2 HOURS  15 MINUTES,₹ 26 CRORES,"Comedy, Drama, Family",Gauri Shinde,Sunil Lulla,Priya Anand,Ajith Kumar,Amitabh Bachchan
kuch-kuch-hota-hai,    46 Crores, U (INDIA),16-Oct-98, 3 HOURS  5 MINUTES,₹ 10 CRORES,"Comedy, Drama, Musical, Romance",Karan Johar,Yash Johar,Rani Mukerji,Kajol Devgn,Salman Khan
kaun,    3 Crores,,,,,,Ram Gopal Varma,Mukesh Udeshi,Manoj Bajpayee,Urmila Matondkar,Sushant Singh
the-lunchbox,    20 Crores, U (INDIA),27-Mar-14, 1 HOUR  44 MINUTES,₹ 22 CRORES,"Drama, Romance",Ritesh Batra,Anurag Kashyap,Irrfan Khan,Irrfan Khan,Nimrat Kaur
aligarh,    2 Crores, A (INDIA),26-Feb-16, 2 HOURS  0 MINUTE,₹ 11 CRORES,"Biography, Drama",Hansal Mehta,Sunil Lulla,Sukhesh Arora,Balaji Gauri,Manoj Bajpayee
the-tashkent-files,    16 Crores, U/A (INDIA),12-Apr-19, 2 HOURS  24 MINUTES,₹ 7 CRORES,,,,,,
kabhi-haan-kabhi-naa,    3 Crores,,,,,,Kundan Shah,Vikram Mehrohtra,Shah Rukh Khan,Juhi Chawla,Naseeruddin Shah
gangaajal,    10 Crores,,,,,,Prakash Jha,Manmohan Shetty,Ajay Devgan,Mohan Agashe,Gracy Singh
darr,    10 Crores,,,,,,Yash Chopra,,Shah Rukh Khan,Juhi Chawla,Sunny Deol
hindi-medium,    63 Crores, U (INDIA),18-May-17, 2 HOURS  13 MINUTES,₹ 23 CRORES,"Comedy, Drama",Saket Chaudhary,Bhushan Kumar,Irrfan Khan,Saba Qamar,Deepak Dobriyal
nayak-the-real-hero,    22 Crores,,,,,,S. Shankar,Am Rathnam,Shankar Shanmugham,Rani Mukerji,Anil Kapoor
johnny-gaddaar,    4 Crores,,,,,,Sriram Raghavan,Manmohan Shetty,Dharmendra,Neil Nitin Mukesh,Rimi Sen
damini,    11 Crores,,,,,,Rajkumar Santoshi,Bunty Soorma,Aamir Khan,Rishi Kapoor,Sunny Deol
stanley-ka-dabba,    5 Crores, U (INDIA),13-May-11, 1 HOUR  36 MINUTES,₹ 4 CRORES,"Comedy, Drama, Family",Amole Gupte,Amole Gupte,Partho A. Gupte,Numaan Sheikh,Abhishek Reddy
kabhi-khushi-kabhie-gham1,    55 Crores, U (INDIA),14-Dec-01, 3 HOURS  30 MINUTES,₹ 40 CRORES,"Drama, Musical, Romance",Karan Johar,Yash Johar,Rani Mukerji,Hrithik Roshan,Amitabh Bachchan
hum-aapke-hain-koun,    72 Crores, U (INDIA),5-Aug-94, 3 HOURS  26 MINUTES,₹ 6 CRORES,"Comedy, Drama, Musical, Romance",Sooraj R Barjatya,Ajit Kumar Barjatya,Sooraj R. Barjatya,Madhuri Dixit,Salman Khan
tanga-m,    367 Crores,,,,,,,,,,
lamhe,    2050 Crores,,,,,,Yash Chopra,Aditya Chopra,Anil Kapoor,Sridevi Kapoor,Anupam Kher
ghayal,    17 Crores,,,,,,Rajkumar Santoshi,Dharmendra,Sunny Deol,Raj Babbar,Moushumi Chatterjee
hum-dil-de-chuke-sanam,    24 Crores, U (INDIA),18-Jun-99, 2 HOURS  57 MINUTES,₹ 16 CRORES,"Comedy, Drama, Musical, Romance",Sanjay Leela Bhansali,Sanjay Leela Bhansali,Aishwarya Rai Bachchan,Ajay Devgan,Salman Khan
stree,    124 Crores, U/A (INDIA),30-Aug-18, 2 HOURS  9 MINUTES,₹ 24 CRORES,"Comedy, Drama, Horror",Amar Kaushik,Dinesh Vijan,Amar Kaushik,Kriti Sanon,Shraddha Kapoor
newton,    22 Crores, U/A (INDIA),22-Sep-17, 1 HOUR  46 MINUTES,,"Comedy, Drama",Amit Masurkar,Aanand L Rai,Mayank Tewari,Rajkummar Rao,Anjali Patil
dil-se,    28 Crores,,,,,,Mani Ratnam,Bharat S Shah,Shah Rukh Khan,Manisha Koirala,Preity Zinta
ghajini,    114 Crores, U (INDIA),24-Dec-08, 2 HOURS  34 MINUTES,₹ 52 CRORES,"Action, Drama, Mystery, Romance, Thriller",A.r. Murugadoss,Madhu Mantena Varma,Ar Murugadoss,Aamir Khan,Asin Thottumkal
shool,    5 Crores,,,,,,Eeshwar Nivas,Ram Gopal Varma,E Nivas,Manoj Bajpayee,Nawazuddin Siddiqui
manorama-six-feet-under,    42 Lakhs, U/A (INDIA),21-Sep-07, 2 HOURS  18 MINUTES,₹ 3 CRORES,"Crime, Drama, Mystery, Thriller",Navdeep Singh,Ketan Maru,Abhay Deol,Gul Panag,Nawazuddin Siddiqui
madras-cafe,    43 Crores, U/A (INDIA),23-Aug-13, 2 HOURS  10 MINUTES,₹ 35 CRORES,"Action, Drama, History, Thriller, War",Shoojit Sircar,John Abraham,John Abraham,Nargis Fakhri,Raashi Khanna
aamir,    2 Crores, U (INDIA),6-Jun-08, 1 HOUR  39 MINUTES,₹ 3 CRORES,"Drama, Thriller, Crime",Raj Kumar Gupta,,Rajeev Khandelwal,Chinkal,Aishwarya
parmanu-the-story-of-pokhran,    91 Crores, U (INDIA),4-May-18, 2 HOURS  9 MINUTES,₹ 44 CRORES,"Action, Drama, History, Thriller",Abhishek Sharma,John Abraham,John Abraham,Diana Penty,Boman Irani
pyaar-ka-punchnama,    60 Crores, U/A (INDIA),20-May-11, 2 HOURS  29 MINUTES,₹ 22 CRORES,,Luv Ranjan,,Kartik Aaryan,Nushrat Bharucha,Raayo S. Bakhirta
bajirao-mastani,    183 Crores, U (INDIA),18-Dec-15, 2 HOURS  38 MINUTES,₹ 145 CRORES,"Action, Drama, History, Romance, War",Sanjay Leela Bhansali,Sanjay Leela Bhansali,Ranveer Singh,Deepika Padukone,Priyanka Chopra
dum-laga-ke-haisha,    30 Crores, U/A (INDIA),27-Feb-15, 2 HOURS  11 MINUTES,₹ 14 CRORES,"Comedy, Drama, Romance",Sharat Katariya,Aditya Chopra,Bhumi Pednekar,Ayushmann Khurrana,Chandrachoor Rai
3-deewarein,    39 Lakhs,,,,,,Nagesh Kukunoor,Elahe Hiptoola,Juhi Chawla,Naseeruddin Shah,Jackie Shroff
chillar-party,    4 Crores, U (INDIA),8-Jul-11, 2 HOURS  15 MINUTES,₹ 5 CRORES,"Comedy, Drama, Family",Vikas Bahl,Ronnie Screwvala,Nitesh Tiwari,Ranbir Kapoor,Aarav Khanna
raanjhanaa,    61 Crores, U/A (INDIA),20-Jun-13, 2 HOURS  21 MINUTES,₹ 36 CRORES,"Drama, Romance",Aanand L. Rai,Krishika Lulla,Aanand L Rai,Sonam Kapoor,Dhanush
dear-zindagi,    66 Crores, U/A (INDIA),23-Nov-16, 2 HOURS  29 MINUTES,₹ 46 CRORES,"Drama, Romance",Gauri Shinde,Karan Johar,Alia Bhatt,Shah Rukh Khan,Aditya Roy Kapoor
laila-majnu3,    2 Crores, U/A (INDIA),7-Sep-18, 2 HOURS  19 MINUTES,,"Drama, Romance",Sajid Ali,Imtiaz Ali,Farzana,Benjamin Gilani,Mir Sarwar
besharam3,    56 Crores,,,,,,,,,,
