Movie,Box_office,Certificate,Release_Data,Run_time,Budget,Genre,Director,Producer,Lead_Actor1,Lead_Actor2,Lead_Actor3
dream-zindagi,    1 Lakhs,,,,,,Raj Rajawat,Shanti Lal Chopra,Ajay Singh,Nishant Kumar,Seema Singh
lift,    100 Million,,24-Sep-17, 12 MINUTES,$ 58 MILLION,,,,,,
saudagar1,    ,,,,,,,,,,
ghanta-chori-ho-gaya,    1 Lakhs,,,,,,Nirbhay Chaudhary,Kamal Gurjar,Kunal Jaiswal,Chhaya Soni,Kamal Gurjar
ghayal-once-again,    26 Crores, U/A (INDIA),5-Feb-16, 2 HOURS  8 MINUTES,₹ 50 CRORES,"Action, Adventure, Drama, Thriller",Sunny Deol,Dharmendra,Sunny Deol,Soha Ali Khan,Manoj Joshi
prabhudevas-abcd,    76 Crores,,,,,,Remo D Souza,,Kay Kay Menon,Dharmesh Yelande,Salman
gulabo-sitabo,    76 Crores,,12-Jun-20,,,"Comedy, Drama, Family",Shoojit Sircar,Ronnie Lahiri,Amitabh Bachchan,Ayushmann Khurrana,Behram Rana
naam-shabana,    36 Crores, U/A (INDIA),30-Mar-17, 2 HOURS  28 MINUTES,₹ 33 CRORES,"Action, Adventure, Thriller",Shivam Nair,Neeraj Pandey,Akshay Kumar,Prithviraj Sukumaran,Anupam Kher
darna-mana-hai1,    5 Crores,,,,,,Prawal Raman,Ram Gopal Varma,Saif Ali Khan,Nana Patekar,Vivek Oberoi
sooryavansham,    6 Crores,,,,,,Satyanarayana E.v.v.,Ga Sheshagiri Rao,Pranavanand,Satyanarayana Evv,Amitabh Bachchan
aaja-nachle,    14 Crores, U (INDIA),30-Nov-07, 2 HOURS  17 MINUTES,₹ 20 CRORES,"Drama, Family, Musical, Romance, Music",Anil Mehta,Aditya Chopra,Irrfan Khan,Madhuri Dixit,Akshaye Khanna
the-threshold,    14 Crores,,,,,,Pushan Kripalani,,Rajit Kapoor,Neena Gupta,Dhanendra Kawde
humne-jeena-seekh-liya,    1 Lakhs,,,,,,Milind Ukey,Amarjeet Amle,Omkar Bhatkar,Siddharth Chandekar,Mrunmayi Deshpande
jaya-ganga,    0 Lakhs,,25-Nov-98, 1 HOUR  34 MINUTES,₹ 3 CRORES,"Drama, Romance",Vijay Singh,,Asil Raïs,Smriti Mishra,Paula Klein
kis-kisko-pyaar-karoon,    42 Crores, U/A (INDIA),23-Sep-15, 2 HOURS  16 MINUTES,₹ 16 CRORES,"Comedy, Romance",Abbas Alibhai Burmawalla,Ganesh Jain,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla
yugandhar,    42 Crores,,,,,,N. Chandra,,Chandrashekhar Narvekar,Mithun Chakraborty,Sangeeta Bijlani
vaamsi-the-warrior,    42 Crores,,,,,,,,Mahesh Babu,Namrata Shirodkar,Mayuri Kango
kick,    211 Crores, U/A (INDIA),24-Jul-14, 2 HOURS  26 MINUTES,₹ 140 CRORES,"Action, Crime, Romance, Thriller, Drama, Comedy",Sajid Nadiadwala,Sajid Nadiadwala,Mithun Chakraborty,Salman Khan,Randeep Hooda
bulbul-can-sing,    , U (INDIA),2-Jan-20, 1 HOUR  35 MINUTES,,Drama,,,Bonita Thakuriya,Manoranjan Das,Manabendra Das
a-daughters-tale-pankh,    86 Crores,,,,,,Rajinder Verma,Rajinder Verma,Premraaj,Prem Raaj,Nishigandha Wad
bal-ganesh-and-the-pomzom-planet,    86 Crores,,,,,,,,Manish Bhawan,Vinod Kulkarni,Sanjeev Tiwari
jodi-no11,    18 Crores,,,,,,David Dhawan,Dhirajlal Shah,Govinda,Sanjay Dutt,Anupam Kher
housefull,    72 Crores, U/A (INDIA),30-Apr-10, 2 HOURS  34 MINUTES,₹ 47 CRORES,"Comedy, Drama, Musical, Romance",Sajid Khan,Sajid Nadiadwala,Akshay Kumar,Arjun Rampal,Deepika Padukone
yakshi,    72 Crores,,,,,,,,,,
kaalakaandi,    4 Crores, A (INDIA),12-Jan-18, 1 HOUR  52 MINUTES,₹ 18 CRORES,"Comedy, Thriller, Drama",Akshat Verma,Rohit Khattar,Saif Ali Khan,Sobhita Dhulipala,Amyra Dastur
pressure-cooker,    4 Crores,,,,,,,,Rahul Bagga,Pallavi Joshi,Mukul Chadda
arjun-the-warrior-prince,    1 Crores, U/A (INDIA),25-May-12, 1 HOUR  36 MINUTES,₹ 7 CRORES,"Animation, Action, Adventure",Arnab Chaudhuri,,Yudhveer Bakoliya,Ila Arun,Sachin Khedekar
abcd-21,    103 Crores,,,,,,Remo D Souza,,Varun Dhawan,Shraddha Kapoor,Raghav Juyal
nishant-tanwar-dilli-se-hoon-bd,    103 Crores,,,,,,,,,,
traffic-signal,    8 Crores, U/A (INDIA),2-Feb-07, 2 HOURS  9 MINUTES,₹ 5 CRORES,Drama,Madhur Bhandarkar,,Konkona Sen Sharma,Neetu Chandra,Upendra Limaye
gurgaon,    22 Lakhs, U/A (INDIA),4-Aug-17, 1 HOUR  47 MINUTES,,"Crime, Thriller, Drama",Shanker Raman,Ajay Rai,Ragini Khanna,Arjun Fauzdar,Shalini Vatsa
liars-dice,    , U/A (INDIA),5-Oct-13, 1 HOUR  44 MINUTES,,"Adventure, Drama, Family",Geethu Mohandas,Ajay Rai,Geetanjali Thapa,Manya Gupta,Vikram Bhagra
ribbon,    40 Lakhs, U/A (INDIA),3-Nov-17, 1 HOUR  46 MINUTES,,"Drama, Family",Rakhee Sandilya,Prakash Mondal,Kalki Koechlin,Adam Dow,Chandan Pethkar
36-china-town,    23 Crores, U/A (INDIA),21-Apr-06, 2 HOURS  20 MINUTES,₹ 19 CRORES,"Comedy, Mystery, Thriller",Abbas Alibhai Burmawalla,Subhash Ghai,Mastan Alibhai Burmawalla,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla
wajood,    5 Crores,,,,,,N. Chandra,Chandrashekhar Narvekar,Chandrashekhar Narvekar,Nana Patekar,Madhuri Dixit
kung-fu-jungle1,    23 Million,,,,,,Teddy Chan,Alex Tong,Baoqiang Wang,Charlie Yeung,Donnie Yen
satta,    1 Crores,,,,,,Madhur Bhandarkar,,Atul Kulkarni,Raveena Tandon,Amarjeet Jha
miss-lovely1,    37 Lakhs, A (INDIA),17-Jan-14, 1 HOUR  53 MINUTES,₹ 5 CRORES,"Crime, Drama, Romance, Film-noir",Ashim Ahluwalia,Sanjay Shah,Niharika Singh,Anil George,Meneka Lalwani
housefull-2,    111 Crores, U/A (INDIA),5-Apr-12, 2 HOURS  41 MINUTES,₹ 72 CRORES,"Comedy, Family, Musical, Romance, Action, Drama",Sajid Khan,Sajid Nadiadwala,Akshay Kumar,Asin Thottumkal,John Abraham
the-violin-player,    111 Crores,,1-Dec-16, 1 HOUR  12 MINUTES,,"Drama, Musical",Bauddhayan Mukherji,Monalisa Mukherji,Sonam Stobgais,Ritwick Chakraborty,Adil Hussain
naseem,    0 Lakhs,,,,,,Saeed Akhtar Mirza,,Seema Kelkar,Kay Kay Menon,Mayuri Kango
patiala-house,    32 Crores, U (INDIA),10-Feb-11, 2 HOURS  20 MINUTES,₹ 50 CRORES,"Comedy, Drama, Sport",Nikhil Advani,Bhushan Kumar,Anushka Sharma,Akshay Kumar,Rishi Kapoor
ek-din-achanak,    ,,,,,,Mrinal Sen,,Arjun Chakraborty,Shabana Azmi,Uttara Baokar
maine-pyaar-kyun-kiya,    25 Crores, U (INDIA),15-Jul-05, 2 HOURS  25 MINUTES,₹ 15 CRORES,"Comedy, Drama, Romance",David Dhawan,Dhilin Mehta,Katrina Kaif,Salman Khan,Arshad Warsi
de-dana-dan,    48 Crores, U/A (INDIA),27-Nov-09, 2 HOURS  43 MINUTES,₹ 60 CRORES,"Comedy, Drama, Musical, Crime",Priyadarshan Nair,Bharat S Shah,Akshay Kumar,Katrina Kaif,Sunil Shetty
har-dil-jo-pyar-karega,    96 Crores,,,,,,Raj Kanwar,Sajid Nadiadwala,Rani Mukerji,Salman Khan,Shah Rukh Khan
zero,    88 Crores, U/A (INDIA),21-Dec-18, 2 HOURS  44 MINUTES,₹ 270 CRORES,"Romance, Sci-fi, Drama, Comedy",Aanand L Rai,Aanand L Rai,Anushka Sharma,Rani Mukerji,Alia Bhatt
ankur-arora-murder-case,    58 Lakhs, U/A (INDIA),14-Jun-13, 2 HOURS  15 MINUTES,₹ 7 CRORES,"Drama, Thriller",Suhail Tatari,Vikram Bhatt,Kay Kay Menon,Vishakha Singh,Manish Chaudhari
matru-ki-bijlee-ka-mandola,    38 Crores, U/A (INDIA),10-Jan-13, 2 HOURS  31 MINUTES,₹ 41 CRORES,"Comedy, Drama",Vishal Bhardwaj,Vishal Bhardwaj,Anushka Sharma,Imran Khan,Lekha Washington
chashme-baddoor,    68 Crores, U/A (INDIA),5-Apr-13, 2 HOURS  12 MINUTES,₹ 19 CRORES,"Comedy, Drama, Romance, Romantic comedy",David Dhawan,,Siddharth Narayan,Rishi Kapoor,Anupam Kher
chaalbaaz,    32 Lakhs,,,,,,Pankaj Parashar,A Poorna Chandra Rao,Rajinikanth,Sunny Deol,Sridevi Kapoor
is-raat-ki-subah-nahin,    50 Lakhs,,,,,,Sudhir Mishra,,R Madhavan,Smriti Mishra,Murad Ali
saawariya,    20 Crores, U (INDIA),8-Nov-07, 2 HOURS  22 MINUTES,₹ 45 CRORES,"Drama, Musical, Romance",Sanjay Leela Bhansali,Sanjay Leela Bhansali,Sonam Kapoor,Rani Mukerji,Ranbir Kapoor
raaz-the-mystery-continues,    25 Crores, U/A (INDIA),23-Jan-09, 2 HOURS  26 MINUTES,₹ 18 CRORES,"Horror, Mystery, Thriller, Drama, Romance",Mohit Suri,Mukesh Bhatt,Emraan Hashmi,Kangana Ranaut,Jackie Shroff
yamla-pagla-deewana,    30 Crores, U/A (INDIA),14-Jan-11, 2 HOURS  43 MINUTES,₹ 46 CRORES,"Action, Comedy, Drama",Samir Karnik,Nitin Manmohan,Ajay Devgan,Dharmendra,Bobby Deol
ghulam-e-musthafa,    1 Crores,,,,,,Partho Ghosh,,Nana Patekar,Swapnil Joshi,Raveena Tandon
krrish-3,    175 Crores, U (INDIA),31-Oct-13, 2 HOURS  32 MINUTES,₹ 95 CRORES,"Action, Adventure, Romance, Sci-fi, Fantasy",Rakesh Roshan,Rakesh Roshan,Kangana Ranaut,Hrithik Roshan,Priyanka Chopra
bal-ganesh-and-pomzom-planet,    175 Crores,,,,,,,,Manish Bhawan,Vinod Kulkarni,Sanjeev Tiwari
diksha,    ,,,,,,Arun Kaul,,Nana Patekar,Anubhav Mishra,Rajshree Sawant
race-21,    93 Crores, U/A (INDIA),25-Jan-13, 2 HOURS  26 MINUTES,₹ 94 CRORES,"Action, Crime, Thriller",,,,,
papa-we-love-you-too,    93 Crores,,,,,,,,Jimmy Shergill,Arya Kabir Sadanand,
kyon-kiits-fate,    23 Crores,,,,,,,,Kavi Kumar Azad,Salman Khan,Kareena Kapoor Khan
shaadi-ke-side-effects,    38 Crores, U/A (INDIA),28-Feb-14, 2 HOURS  25 MINUTES,₹ 43 CRORES,"Comedy, Romance, Romantic comedy",Saket Chaudhary,Shobha Kapoor,Vidya Balan,Farhan Akhtar,Rati Agnihotri
bharat,    197 Crores, U/A (INDIA),5-Jun-19, 2 HOURS  35 MINUTES,₹ 240 CRORES,"Drama, Action",Ali Abbas Zafar,Bhushan Kumar,Varun Dhawan,Katrina Kaif,Salman Khan
raja-babu,    8 Crores,,,,,,David Dhawan,Nandu G. Tolani,Govinda,Karisma Kapoor,Prem Chopra
